athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type,multiple_sr,substance_group
"ruiz-gutierrez, noslen",cycling,dexamethasonephentermine19-noretiocholanolone (19-ne)19-norandrosterone (19-na)anabolic agent,4-year suspension; loss of results,2023-01-04,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"roberts, gil",track & field,andarineostarine,16-month suspension; loss of results,2022-12-08,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"rodriguez ocasio, christian",weightlifting,heptaminoloctodrine,12-month suspension; loss of results,2022-11-30,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"mead, hassan",track & field,ostarinelgd-4033,3-year suspension; loss of results,2022-11-29,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"bringas, joshua",weightlifting,heptaminolibutamorenoxilofrinegw1516,3-year suspension; loss of results,2022-09-26,FALSE,FALSE,FALSE,analytical,TRUE,S2 PEP HORMONES/G FACTORS/MIMETICS
"allen, sabina",track & field,phenterminelgd-4033,4-year suspension; loss of results,2022-06-09,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"wilson, ian",weightlifting,stanozololdrostanolone,3-year suspension; loss of results,2022-02-03,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"prazeres, michel",mixed martial arts,clomipheneoxandroloneandrogenic anabolic steroid,4-year suspension,2021-12-23,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"adel, jordan",weightlifting,ostarinelgd-4033ibutamoren,3-year suspension; loss of results,2021-11-30,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"tran, hillary",weightlifting,cocained-methamphetamine,1-year suspension; loss of results,2021-10-28,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"lacoste, jacob",weightlifting,clomiphene19-norandrosterone (19-na),3-year suspension; loss of results,2021-09-29,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"storie, logan",pentathlon,ostarinelgd‐4033gw1516,6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026,2021-08-06,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"prince, david",paralympic track & field,ostarinelgd‐4033,12-month suspension; loss of results,2021-06-29,FALSE,FALSE,TRUE,analytical,TRUE,S1 ANABOLIC AGENTS
"gallardo, luis",weightlifting,oxymetholonedehydrochloromethyltestosterone (dhcmt)arimistanetorasemide,4-year suspension; loss of results,2021-06-03,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"pessoa nunes, raphael",mixed martial arts,hydrochlorothiazide (hctz)possessionuse/attempted useevading sample collection,2-year suspension,2021-05-03,FALSE,FALSE,FALSE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"aivazian, vahe",cycling,testosterone;	nandrolonedehydroepiandrosterone (dhea)somatropin (hgh)ipamorelinghrp-6cjc-1295;  igf-1human chorionic gonadotropin (hcg)anastrozole,4-year suspension; loss of results,2021-04-15,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"pennington, raquel",mixed martial arts,7-keto-dheaaod-9064,6-month suspension,2021-01-28,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"lewis-parry, chi",mixed martial arts,drostanolonestanozololdehydrochloromethyltestosterone (dhcmt)tampering,4-year suspension,2020-12-04,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"gonzalez villa, jorge",mixed martial arts,stanozololdrostanolone,2-year suspension,2020-09-11,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"ostovich-berdon, rachael",mixed martial arts,ostarinegw1516,1-year suspension,2020-06-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"romero noboa, isidro",triathlon,androgenic anabolic steroidcannabinoidsanastrozoleclomiphenegw1516,4-year suspension; loss of results,2020-05-22,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"hurst, rowdy",weightlifting,androgenic anabolic steroidclomiphenemodafinil,4-year suspension; loss of results,2020-04-24,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"gleaves, john",cycling,oxandroloneclomiphene,4-year suspension; loss of results,2020-03-20,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"aguero, manuel",weightlifting,amphetaminemodafinil,4-year suspension; loss of results,2020-03-12,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"saint preux, ovince",mixed martial arts,ostarinelgd-4033gw1516,3-month suspension,2020-01-31,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"sanchez, diego",mixed martial arts,ostarines-23,3-month suspension,2020-01-31,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"townsend, dequan",mixed martial arts,cocainefentanyl,6-month suspension,2020-01-08,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"akuna, kiara",weightlifting,methandienonedehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,2019-11-27,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"franklin, natalie",weightlifting,ostarinelgd-4033,4-year suspension; loss of results,2019-10-10,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"smoliakov, dmitrii",mixed martial arts,recombinant human erythropoietin (rhuepo)intact human chorionic gonadtrophin (hcg),2-year suspension,2019-09-10,FALSE,FALSE,FALSE,analytical,TRUE,S2 PEP HORMONES/G FACTORS/MIMETICS
"maynard, nicole",weightlifting,methenolonelgd‐4033gw1516,4-year suspension; loss of results,2019-09-04,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
